date,close,volume,open,high,low
2011/06/07,68.93,7380534,69.2,69.3,68.84
2011/06/08,68.84,5477045,68.72,69,68.41
2011/06/09,69.51,6046517,68.97,69.95,68.75
2011/06/10,68.69,6986642,69.3,69.42,68.58
2011/06/13,69.06,4793263,68.74,69.32,68.62
2011/06/14,69.57,4830032,69.47,69.78,69.25
2011/06/15,68.48,7728006,69.16,69.57,67.7567
2011/06/16,68.89,6237062,68.54,69.21,68.53
2011/06/17,68.72,7575818,69.3,69.49,68.56
2011/06/20,68.98,5052763,68.63,69.26,68.63
2011/06/21,68.93,5638507,69.28,69.34,68.8
2011/06/22,68.78,5424083,68.93,69.15,68.75
2011/06/23,67.98,8281264,68.27,68.545,67.46
2011/06/24,68.45,14855440,67.98,68.66,67.95
2011/06/27,69.05,7446181,68.53,69.33,68.53
2011/06/28,69.62,5151436,69.37,69.78,69.18
2011/06/29,69.96,5511745,69.77,70.26,69.75
2011/06/30,70.43,5279835,70.13,70.49,69.92
2011/07/01,70.19,6458144,70.08,70.36,69.61
2011/07/05,69.77,7299705,69.87,70.45,69.66
2011/07/06,70.17,5975833,69.8,70.21,69.75
2011/07/07,70.52,5684069,70.49,70.75,70.25
2011/07/08,69.93,5996545,70.01,70.39,69.465
2011/07/11,69.3,5227717,69.34,69.48,68.915
2011/07/12,69.01,5367801,69.2,69.54,68.86
2011/07/13,68.89,4954241,69.38,69.47,68.63
2011/07/14,68.6,4452016,68.74,69.08,68.44
2011/07/15,68.53,6746711,68.53,68.53,68
2011/07/18,68,6163756,68.61,68.61,67.38
